Country_exporting_to_India,Quantity_2011_12,Quantity_2012_13,Principal_Commodity,Differnce,%increase and Decrease in Export
SAUDI ARAB,33571839,36436183,"PETROLEUM, CRUDE & PRODUCTS",2864344,0.040914511
IRAQ,23778037,25374113,"PETROLEUM, CRUDE & PRODUCTS",1596076,0.03247215
KUWAIT,19599691,20306796,"PETROLEUM, CRUDE & PRODUCTS",707105,0.017719049
QATAR,18080814,20705230,"PETROLEUM, CRUDE & PRODUCTS",2624416,0.067663926
U ARAB EMTS,17168628,18060219,"PETROLEUM, CRUDE & PRODUCTS",891591,0.025308549
NIGERIA,16743270,16123252,"PETROLEUM, CRUDE & PRODUCTS",-620018,-0.018864728
IRAN,14796228,13334090,"PETROLEUM, CRUDE & PRODUCTS",-1462138,-0.051977301
VENEZUELA,9466282,20768994,"PETROLEUM, CRUDE & PRODUCTS",11302712,0.373825329
ANGOLA,7976415,10091752,"PETROLEUM, CRUDE & PRODUCTS",2115337,0.117075351
BRAZIL,3801674,3748884,"PETROLEUM, CRUDE & PRODUCTS",-52790,-0.006991536
EGYPT A RP,3561201,2995975,"PETROLEUM, CRUDE & PRODUCTS",-565226,-0.086199608
MALAYSIA,2593848,2847311,"PETROLEUM, CRUDE & PRODUCTS",253463,0.046582539
OMAN,2589749,618308,"PETROLEUM, CRUDE & PRODUCTS",-1971441,-0.614528046
SINGAPORE,2386472,844939,"PETROLEUM, CRUDE & PRODUCTS",-1541533,-0.477046405
ALGERIA,2373567,809627,"PETROLEUM, CRUDE & PRODUCTS",-1563940,-0.491311557
MEXICO,2364568,4628256,"PETROLEUM, CRUDE & PRODUCTS",2263688,0.323715855
U S A,1462048,2866229,"PETROLEUM, CRUDE & PRODUCTS",1404181,0.324420318
CHINA P RP,1407016,1103558,"PETROLEUM, CRUDE & PRODUCTS",-303458,-0.12087196
YEMEN REPUBLC,1232233,1086881,"PETROLEUM, CRUDE & PRODUCTS",-145352,-0.06267566
AZERBAIJAN,1008478,2159348,"PETROLEUM, CRUDE & PRODUCTS",1150870,0.363299626
BRUNEI,863676,1146540,"PETROLEUM, CRUDE & PRODUCTS",282864,0.140713237
KOREA RP,846658,683877,"PETROLEUM, CRUDE & PRODUCTS",-162781,-0.106355621
COLOMBIA,746717,3057597,"PETROLEUM, CRUDE & PRODUCTS",2310880,0.607436715
AUSTRALIA,695973,323347,"PETROLEUM, CRUDE & PRODUCTS",-372626,-0.365563317
BAHARAIN IS,605941,413147,"PETROLEUM, CRUDE & PRODUCTS",-192794,-0.189182877
CAMEROON,580387,527657,"PETROLEUM, CRUDE & PRODUCTS",-52730,-0.047588363
SUDAN,522288,83533,"PETROLEUM, CRUDE & PRODUCTS",-438755,-0.724232075
TAIWAN,379292,322667,"PETROLEUM, CRUDE & PRODUCTS",-56625,-0.080667104
CONGO P REP,316389,552067,"PETROLEUM, CRUDE & PRODUCTS",235678,0.271375867
INDONESIA,261114,226254,"PETROLEUM, CRUDE & PRODUCTS",-34860,-0.07152706
JAPAN,258305,31239,"PETROLEUM, CRUDE & PRODUCTS",-227066,-0.784219324
NETHERLAND,242308,892533,"PETROLEUM, CRUDE & PRODUCTS",650225,0.572965728
EQUTL GUINEA,232542,653031,"PETROLEUM, CRUDE & PRODUCTS",420489,0.474821387
PANAMA REPUBLIC,202123,58051,"PETROLEUM, CRUDE & PRODUCTS",-144072,-0.553752489
SYRIA,166681,82650,"PETROLEUM, CRUDE & PRODUCTS",-84031,-0.337025881
UNSPECIFIED,156937,25658,"PETROLEUM, CRUDE & PRODUCTS",-131279,-0.718962732
GUINEA,144805,664194,"PETROLEUM, CRUDE & PRODUCTS",519389,0.642014391
U K,119689,90184,"PETROLEUM, CRUDE & PRODUCTS",-29505,-0.14058502
SPAIN,118169,148580,"PETROLEUM, CRUDE & PRODUCTS",30411,0.114006051
ALBANIA,115382,41687,"PETROLEUM, CRUDE & PRODUCTS",-73695,-0.469188701
GABON,89802,997940,"PETROLEUM, CRUDE & PRODUCTS",908138,0.83488364
THAILAND,83266,59817,"PETROLEUM, CRUDE & PRODUCTS",-23449,-0.1638839
LIBYA,45032,2034667,"PETROLEUM, CRUDE & PRODUCTS",1989635,0.956693733
PAKISTAN IR,25997,31700,"PETROLEUM, CRUDE & PRODUCTS",5703,0.098843961
GERMANY,24921,16527,"PETROLEUM, CRUDE & PRODUCTS",-8394,-0.202518819
SOUTH AFRICA,22643,17462,"PETROLEUM, CRUDE & PRODUCTS",-5181,-0.129185887
FRANCE,19696,76399,"PETROLEUM, CRUDE & PRODUCTS",56703,0.590072324
BANGLADESH PR,18587,38672,"PETROLEUM, CRUDE & PRODUCTS",20085,0.350774551
