Country_exporting_to_India,Quantity_2011_12,Principal_Commodity,Unit
SAUDI ARAB,33571839,"PETROLEUM, CRUDE & PRODUCTS",TON
IRAQ,23778037,"PETROLEUM, CRUDE & PRODUCTS",TON
KUWAIT,19599691,"PETROLEUM, CRUDE & PRODUCTS",TON
QATAR,18080814,"PETROLEUM, CRUDE & PRODUCTS",TON
U ARAB EMTS,17168628,"PETROLEUM, CRUDE & PRODUCTS",TON
NIGERIA,16743270,"PETROLEUM, CRUDE & PRODUCTS",TON
IRAN,14796228,"PETROLEUM, CRUDE & PRODUCTS",TON
VENEZUELA,9466282,"PETROLEUM, CRUDE & PRODUCTS",TON
ANGOLA,7976415,"PETROLEUM, CRUDE & PRODUCTS",TON
BRAZIL,3801674,"PETROLEUM, CRUDE & PRODUCTS",TON
EGYPT A RP,3561201,"PETROLEUM, CRUDE & PRODUCTS",TON
MALAYSIA,2593848,"PETROLEUM, CRUDE & PRODUCTS",TON
OMAN,2589749,"PETROLEUM, CRUDE & PRODUCTS",TON
SINGAPORE,2386472,"PETROLEUM, CRUDE & PRODUCTS",TON
ALGERIA,2373567,"PETROLEUM, CRUDE & PRODUCTS",TON
MEXICO,2364568,"PETROLEUM, CRUDE & PRODUCTS",TON
U S A,1462048,"PETROLEUM, CRUDE & PRODUCTS",TON
CHINA P RP,1407016,"PETROLEUM, CRUDE & PRODUCTS",TON
YEMEN REPUBLC,1232233,"PETROLEUM, CRUDE & PRODUCTS",TON
AZERBAIJAN,1008478,"PETROLEUM, CRUDE & PRODUCTS",TON
BRUNEI,863676,"PETROLEUM, CRUDE & PRODUCTS",TON
KOREA RP,846658,"PETROLEUM, CRUDE & PRODUCTS",TON
COLOMBIA,746717,"PETROLEUM, CRUDE & PRODUCTS",TON
AUSTRALIA,695973,"PETROLEUM, CRUDE & PRODUCTS",TON
BAHARAIN IS,605941,"PETROLEUM, CRUDE & PRODUCTS",TON
CAMEROON,580387,"PETROLEUM, CRUDE & PRODUCTS",TON
SUDAN,522288,"PETROLEUM, CRUDE & PRODUCTS",TON
TAIWAN,379292,"PETROLEUM, CRUDE & PRODUCTS",TON
TRINIDAD,319526,"PETROLEUM, CRUDE & PRODUCTS",TON
CONGO P REP,316389,"PETROLEUM, CRUDE & PRODUCTS",TON
INDONESIA,261114,"PETROLEUM, CRUDE & PRODUCTS",TON
JAPAN,258305,"PETROLEUM, CRUDE & PRODUCTS",TON
NETHERLAND,242308,"PETROLEUM, CRUDE & PRODUCTS",TON
EQUTL GUINEA,232542,"PETROLEUM, CRUDE & PRODUCTS",TON
PANAMA REPUBLIC,202123,"PETROLEUM, CRUDE & PRODUCTS",TON
COTE D' IVOIRE,196940,"PETROLEUM, CRUDE & PRODUCTS",TON
SYRIA,166681,"PETROLEUM, CRUDE & PRODUCTS",TON
UNSPECIFIED,156937,"PETROLEUM, CRUDE & PRODUCTS",TON
GUINEA,144805,"PETROLEUM, CRUDE & PRODUCTS",TON
FR GUIANA,130317,"PETROLEUM, CRUDE & PRODUCTS",TON
SWEDEN,120512,"PETROLEUM, CRUDE & PRODUCTS",TON
U K,119689,"PETROLEUM, CRUDE & PRODUCTS",TON
SPAIN,118169,"PETROLEUM, CRUDE & PRODUCTS",TON
ALBANIA,115382,"PETROLEUM, CRUDE & PRODUCTS",TON
PANAMA C Z,103743,"PETROLEUM, CRUDE & PRODUCTS",TON
BELGIUM,100086,"PETROLEUM, CRUDE & PRODUCTS",TON
GABON,89802,"PETROLEUM, CRUDE & PRODUCTS",TON
ISRAEL,84686,"PETROLEUM, CRUDE & PRODUCTS",TON
THAILAND,83266,"PETROLEUM, CRUDE & PRODUCTS",TON
GUINEA BISSAU,53794,"PETROLEUM, CRUDE & PRODUCTS",TON
HONG KONG,45062,"PETROLEUM, CRUDE & PRODUCTS",TON
LIBYA,45032,"PETROLEUM, CRUDE & PRODUCTS",TON
SRI LANKA DSR,44500,"PETROLEUM, CRUDE & PRODUCTS",TON
TUNISIA,34901,"PETROLEUM, CRUDE & PRODUCTS",TON
PAKISTAN IR,25997,"PETROLEUM, CRUDE & PRODUCTS",TON
GERMANY,24921,"PETROLEUM, CRUDE & PRODUCTS",TON
SOUTH AFRICA,22643,"PETROLEUM, CRUDE & PRODUCTS",TON
FRANCE,19696,"PETROLEUM, CRUDE & PRODUCTS",TON
BANGLADESH PR,18587,"PETROLEUM, CRUDE & PRODUCTS",TON
GREECE,15000,"PETROLEUM, CRUDE & PRODUCTS",TON
MALDIVES,13474,"PETROLEUM, CRUDE & PRODUCTS",TON
MAURITIUS,11988,"PETROLEUM, CRUDE & PRODUCTS",TON
MYANMAR,10199,"PETROLEUM, CRUDE & PRODUCTS",TON
