Country_exporting_to_India,Quantity_2011_12,Value_2011_12,Quantity_2012_13,Value_2012_13,price 2011-12/ton,price 2012-13/ton,price 2011-12/barrel,price 2012-13/barrel,price 2011-12/litre,price 2012-13/litre,%tage change 
SPAIN,118169,1367384723.00,148580,5323458884.00,"? 11,571.43","? 35,828.91",1620.648947,5018.05409,? 10.53,? 32.59,51.17573605
JAPAN,258305,10823539478.00,31239,2534966617.00,"? 41,902.17","? 81,147.50",5868.650966,11365.19547,? 38.11,? 73.81,31.89389279
GERMANY,24921,1674518136.00,16527,1719468878.00,"? 67,193.06","? 1,04,039.99",9410.792086,14571.42686,? 61.12,? 94.63,21.51858752
PANAMA REPUBLIC,202123,5503387548.00,58051,2326671671.00,"? 27,227.91","? 40,079.79",3813.433255,5613.41544,? 24.77,? 36.46,19.09420893
INDONESIA,261114,5110827611.00,226254,6311553137.00,"? 19,573.17","? 27,895.87",2741.339746,3906.985192,? 17.80,? 25.37,17.5329193
SUDAN,522288,17178153159.00,83533,3876453891.00,"? 32,890.19","? 46,406.26",4606.469618,6499.475812,? 29.92,? 42.21,17.04498015
THAILAND,83266,3077169478.00,59817,2897018894.00,"? 36,955.89","? 48,431.36",5175.895532,6783.104187,? 33.61,? 44.05,13.43932346
SOUTH AFRICA,22643,1180184971.00,17462,1150171582.00,"? 52,121.40","? 65,867.12",7299.916652,9225.086294,? 47.41,? 59.91,11.65004114
SINGAPORE,2386472,104339056278.00,844939,46014295431.00,"? 43,721.05","? 54,458.72",6123.396044,7627.271545,? 39.77,? 49.53,10.93674537
PAKISTAN IR,25997,1106544089.00,31700,1680312394.00,"? 42,564.30","? 53,006.70",5961.386457,7423.907581,? 38.72,? 48.21,10.92632795
BANGLADESH PR,18587,824914021.00,38672,2134690589.00,"? 44,381.24","? 55,199.90",6215.859289,7731.078635,? 40.37,? 50.21,10.86417215
QATAR,18080814,560412072226.00,20705230,790332161337.00,"? 30,994.85","? 38,170.65",4341.015053,5346.029911,? 28.19,? 34.72,10.37483424
CONGO P REP,316389,10436208475.00,552067,22411706362.00,"? 32,985.37","? 40,595.99",4619.799829,5685.712873,? 30.00,? 36.93,10.34313454
COLOMBIA,746717,23339758114.00,3057597,114482451240.00,"? 31,256.50","? 37,441.97",4377.660727,5243.97321,? 28.43,? 34.06,9.003797989
BRUNEI,863676,34856370071.00,1146540,54855290462.00,"? 40,358.16","? 47,844.20",5652.402692,6700.868518,? 36.71,? 43.52,8.487353733
CHINA P RP,1407016,39829886550.00,1103558,36661142842.00,"? 28,308.06","? 33,220.86",3964.713609,4652.781135,? 25.75,? 30.22,7.984542448
AUSTRALIA,695973,26412200066.00,323347,14350561896.00,"? 37,950.04","? 44,381.31",5315.131024,6215.869077,? 34.52,? 40.37,7.811447793
OMAN,2589749,96661368730.00,618308,26461820334.00,"? 37,324.61","? 42,797.15",5227.536269,5993.998625,? 33.95,? 38.93,6.830280912
