AFGHANISTAN TIS,MADEUP TEXTILE ARTICL
ALBANIA,IRON & STEEL
ALGERIA,M-MADE F'MNT/SPUN YRN(INC.WAS)
AMERI SAMOA,INORGANIC CHEMICALS
ANDORRA,MACHINE TOOLS
ANGOLA,M-MADE F'MNT/SPUN YRN(INC.WAS)
ANTARTICA,MANUFACTURES OF METALS
ANTIGUA,MACHRY EXCPT ELEC & ELECTRONIC
ARGENTINA,M-MADE F'MNT/SPUN YRN(INC.WAS)
ARMENIA,FRUITS & NUTS EXCL CASHEW NUTS
AUSTRALIA,M-MADE F'MNT/SPUN YRN(INC.WAS)
AUSTRIA,M-MADE F'MNT/SPUN YRN(INC.WAS)
AZERBAIJAN,INORGANIC CHEMICALS
BAHAMAS,MANUFACTURES OF METALS
BAHARAIN IS,M-MADE F'MNT/SPUN YRN(INC.WAS)
BANGLADESH PR,M-MADE F'MNT/SPUN YRN(INC.WAS)
BARBADOS,INORGANIC CHEMICALS
BELARUS,M-MADE F'MNT/SPUN YRN(INC.WAS)
BELGIUM,M-MADE F'MNT/SPUN YRN(INC.WAS)
BELIZE,MADEUP TEXTILE ARTICL
BENIN,M-MADE F'MNT/SPUN YRN(INC.WAS)
BHUTAN,M-MADE F'MNT/SPUN YRN(INC.WAS)
BOLIVIA,LEATHER
BOSNIA-HRZGOVIN,MADEUP TEXTILE ARTICL
BOTSWANA,INORGANIC CHEMICALS
BR VIRGN IS,INORGANIC CHEMICALS
BRAZIL,M-MADE F'MNT/SPUN YRN(INC.WAS)
BRUNEI,IRON & STEEL
BULGARIA,M-MADE F'MNT/SPUN YRN(INC.WAS)
BURKINA FASO,LEATHER
BURUNDI,LEATHER
CAMBODIA,M-MADE F'MNT/SPUN YRN(INC.WAS)
CAMEROON,M-MADE F'MNT/SPUN YRN(INC.WAS)
CANADA,M-MADE F'MNT/SPUN YRN(INC.WAS)
CAPE VERDE IS,FRUITS & NUTS EXCL CASHEW NUTS
CHAD,LEATHER
CHILE,M-MADE F'MNT/SPUN YRN(INC.WAS)
CHINA P RP,M-MADE F'MNT/SPUN YRN(INC.WAS)
COCOS IS,MANUFACTURES OF METALS
COLOMBIA,M-MADE F'MNT/SPUN YRN(INC.WAS)
COMOROS,IRON & STEEL
CONGO D. REP.,MEDICINAL & PHRMACUTICL PRODTS
CONGO P REP,M-MADE F'MNT/SPUN YRN(INC.WAS)
COOK IS,MACHINE TOOLS
COSTA RICA,M-MADE F'MNT/SPUN YRN(INC.WAS)
COTE D' IVOIRE,M-MADE F'MNT/SPUN YRN(INC.WAS)
CROATIA,M-MADE F'MNT/SPUN YRN(INC.WAS)
CUBA,FRUITS & NUTS EXCL CASHEW NUTS
CYPRUS,M-MADE F'MNT/SPUN YRN(INC.WAS)
CZECH REPUBLIC,M-MADE F'MNT/SPUN YRN(INC.WAS)
DENMARK,M-MADE F'MNT/SPUN YRN(INC.WAS)
DJIBOUTI,M-MADE F'MNT/SPUN YRN(INC.WAS)
DOMINIC REP,M-MADE F'MNT/SPUN YRN(INC.WAS)
DOMINICA,MANUFACTURES OF METALS
EAST TIMOR,MACHRY EXCPT ELEC & ELECTRONIC
ECUADOR,M-MADE F'MNT/SPUN YRN(INC.WAS)
EGYPT A RP,M-MADE F'MNT/SPUN YRN(INC.WAS)
EL SALVADOR,MADEUP TEXTILE ARTICL
EQUTL GUINEA,INORGANIC CHEMICALS
ERITREA,LEATHER
ESTONIA,M-MADE F'MNT/SPUN YRN(INC.WAS)
ETHIOPIA,M-MADE F'MNT/SPUN YRN(INC.WAS)
FALKLAND IS,FRUITS & NUTS EXCL CASHEW NUTS
FAROE IS.,LEATHER
FIJI IS,MADEUP TEXTILE ARTICL
FINLAND,M-MADE F'MNT/SPUN YRN(INC.WAS)
FR GUIANA,LEATHER
FRANCE,M-MADE F'MNT/SPUN YRN(INC.WAS)
GABON,FRUITS & NUTS EXCL CASHEW NUTS
GAMBIA,INORGANIC CHEMICALS
GEORGIA,M-MADE F'MNT/SPUN YRN(INC.WAS)
GERMANY,M-MADE F'MNT/SPUN YRN(INC.WAS)
GHANA,M-MADE F'MNT/SPUN YRN(INC.WAS)
GREECE,M-MADE F'MNT/SPUN YRN(INC.WAS)
GRENADA,MACHRY EXCPT ELEC & ELECTRONIC
GUADELOUPE,MANUFACTURES OF METALS
GUATEMALA,M-MADE F'MNT/SPUN YRN(INC.WAS)
GUINEA,FRUITS & NUTS EXCL CASHEW NUTS
GUINEA BISSAU,M-MADE F'MNT/SPUN YRN(INC.WAS)
GUYANA,LEATHER
HAITI,LEATHER
HONDURAS,MADEUP TEXTILE ARTICL
HONG KONG,M-MADE F'MNT/SPUN YRN(INC.WAS)
HUNGARY,M-MADE F'MNT/SPUN YRN(INC.WAS)
ICELAND,LEATHER
INDONESIA,M-MADE F'MNT/SPUN YRN(INC.WAS)
IRAN,M-MADE F'MNT/SPUN YRN(INC.WAS)
IRAQ,M-MADE F'MNT/SPUN YRN(INC.WAS)
IRELAND,M-MADE F'MNT/SPUN YRN(INC.WAS)
ISRAEL,M-MADE F'MNT/SPUN YRN(INC.WAS)
